"use_case","use_case_type",classification,"sub_classification","lantern_data_type",category,"sub_category",domain,"data_model","data_type",apps,url,"parent_use_case","parent_url",vertical,docs,status,notes,"created_by","last_updated","related_use_cases",description
"Current AWS elastic load balancer instances","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:Description data",,"https://lantern.splunk.com/@go/page/654","Managing an Amazon Web Services environment","https://lantern.splunk.com/@go/page/625","Industry Neutral",,Active,,,,,
"Current AWS virtual private cloud infrastructure","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:Description data",,"https://lantern.splunk.com/@go/page/655","Managing an Amazon Web Services environment","https://lantern.splunk.com/@go/page/625","Industry Neutral",,Active,,,,,
"Current inventory status visibility",Capability,Platform,,,Industry,Manufacturing,Platform,,,,"https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing/Optimizing_your_inventory/Current_inventory_status_visibility",,,,,,,,,,
"Current state of Windows services on a host","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/1754","Maintaining Microsoft Windows systems with the Splunk platform","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Maintaining_Microsoft_Windows_systems_with_the_Splunk_platform","Industry Neutral",,Active,,,,,
"Current state of Windows services on a host","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Updates data",,"https://lantern.splunk.com/@go/page/1754","Maintaining Microsoft Windows systems with the Splunk platform","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Maintaining_Microsoft_Windows_systems_with_the_Splunk_platform","Industry Neutral",,Active,,,,,
"DLL loaded in a specific process","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/1774","Detecting Supernova web shell malware","https://lantern.splunk.com/@go/page/1768","Industry Neutral",,Active,,,,,
"DLL loaded in a specific process","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/1774","Detecting Supernova web shell malware","https://lantern.splunk.com/@go/page/1768","Industry Neutral",,Active,,,,,
"DNS queries to randomized subdomains","Analytic Capability","Digital Resilience","Guided Insights","Network resolution","Threat Hunting",,Security,,"Network Resolution data",,"https://lantern.splunk.com/@go/page/728","Monitoring a network for DNS exfiltration","http://lantern.splunk.com/@go/cid/AdoptionBoardDNS","Industry Neutral",,Active,,,,,
"DNS tunneling through randomized subdomains","Analytic Capability","Digital Resilience","Guided Insights","Network resolution","Threat Hunting",,Security,,"Network Resolution data",,"https://lantern.splunk.com/@go/page/727","Monitoring a network for DNS exfiltration","http://lantern.splunk.com/@go/cid/AdoptionBoardDNS","Industry Neutral",,Active,,,,,
"Data validation for API responses","Technical Capability","Digital Resilience","Foundational Visibility","Synthetic monitoring","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Synthetic Monitoring data",,"https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences/Monitoring_API_transactions/Data_validation_for_API_responses","Monitoring API transactions","https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences/Monitoring_API_transactions","Industry Neutral",,Active,,,,,
"De-identifying PII consistently with hashing in Edge Processor","Technical Capability","Digital Resilience","Foundational Visibility",PII,Compliance,,Security,,"Edge Processor data",,"https://lantern.splunk.com/@go/page/7549",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Defining and detecting personally identifiable information (PII) in log data",Capability,"Digital Resilience Journey","Foundational Visibility",,Compliance,,Security,,,,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance/Defining_and_detecting_personally_identifiable_information_(PII)_in_log_data",,,,,,,,,,
"Deploying and troubleshooting OpenTelemetry successfully","Technical Capability","Digital Resilience","Unified Workflows",OpenTelemetry,"Standardize Observability Practices",,Observability,,OpenTelemetry,,"https://lantern.splunk.com/@go/page/3238","Enable Self Service Observability","https://lantern.splunk.com/Observability/UCE/Unified_Workflows/Enable_Self-Service_Observability","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Deployment Guide: Prerequisites for detecting and preventing fraud",Capability,Platform,,,Industry,"Financial Services and Insurance",Platform,,,,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/FSI_Prerequisites_fraud?mt-learningpath=fsi_fraud",,,,,,,,,,
"Deployment Guide: Set up the environment for SFA",Capability,Platform,,,Industry,"Financial Services and Insurance",Platform,,,,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/FSI_set_up_the_environment_for_SFA",,,,,,,,,,
"Detect Kubernetes nodes running out of resources or pods that are in a pending phase","Technical Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Kubernetes data",,"https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud/Monitoring_Kubernetes_pods/Detect_Kubernetes_nodes_running_out_of_resources_or_pods_that_are_in_a_pending_phase","Monitoring Kubernetes pods",,"Industry Neutral",,Active,,,,,
"Detecting ATM fraud","Analytic Use Case",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Business Service data",,"https://lantern.splunk.com/@go/page/1532","Is Top Level Parent",,"Financial Services and Insurance",,Active,,,,,
"Detecting ATM fraud","Analytic Use Case",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/1532","Is Top Level Parent",,"Financial Services and Insurance",,Active,,,,,
"Detecting AWS network ACL activity","Analytic Capability","Digital Resilience","Guided Insights","Network access control","Threat Hunting",,Security,,"AWS:CloudTrail data",,"https://lantern.splunk.com/@go/page/2667","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting AWS network ACL activity","Analytic Capability","Digital Resilience","Guided Insights","Network access control","Threat Hunting",,Security,,"AWS:CloudWatch data",,"https://lantern.splunk.com/@go/page/2667","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting AWS network ACL activity","Analytic Capability","Digital Resilience","Guided Insights","Network access control","Threat Hunting",,Security,,"AWS:IAM data",,"https://lantern.splunk.com/@go/page/2667","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting AWS security hub alerts","Analytic Capability","Digital Resilience","Guided Insights",Alerts,"Threat Hunting",,Security,,"AWS:CloudTrail data",,"https://lantern.splunk.com/@go/page/2816","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,"Missing Security Hub",,,,
"Detecting AWS security hub alerts","Analytic Capability","Digital Resilience","Guided Insights",Alerts,"Threat Hunting",,Security,,"AWS:CloudWatch data",,"https://lantern.splunk.com/@go/page/2816","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,"Missing Security Hub",,,,
"Detecting AWS security hub alerts","Analytic Capability","Digital Resilience","Guided Insights",Alerts,"Threat Hunting",,Security,,"AWS:IAM data",,"https://lantern.splunk.com/@go/page/2816","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,"Missing Security Hub",,,,
"Detecting AWS security hub alerts","Analytic Capability","Digital Resilience","Guided Insights",Alerts,"Threat Hunting",,Security,,"AWS:Security Hub data",,"https://lantern.splunk.com/@go/page/2816","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,"Missing Security Hub",,,,
"Detecting AWS suspicious provisioning activities","Analytic Capability","Digital Resilience","Guided Insights",Change,"Threat Hunting",,Security,,"AWS:CloudTrail data",,"https://lantern.splunk.com/@go/page/2676","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting AWS suspicious provisioning activities","Analytic Capability","Digital Resilience","Guided Insights",Change,"Threat Hunting",,Security,,"AWS:CloudWatch data",,"https://lantern.splunk.com/@go/page/2676","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting BlackMatter ransomware","Technical Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/3005","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting Clop ransomware","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2858","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting Clop ransomware","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/2858","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting DarkSide ransomware","Technical Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/3006","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting FIN7 attacks","Technical Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/3061","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting FIN7 attacks","Technical Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/3061","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting Log4Shell remote code execution",Capability,"Digital Resilience Journey","Guided Insights",,"Threat Hunting",,Security,,,,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/Detecting_Log4j_remote_code_execution",,,,,,,,,,
"Detecting Log4j remote code execution","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Application data",,"https://lantern.splunk.com/@go/page/2939","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting Log4j remote code execution","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2939","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
