dashboard,capability,capability_description,domain,expanded_guidance,ext_link,ext_product,icon,name,level,practice_description,visible
AC_2-10_1_rmf,AC-2(10),Account Management | Shared and Group Account Credential Change,Access Control,,,,fas fa-user-lock,AC-2(10).1,,The information system terminates shared/group account credentials when members leave the group.,TRUE
AC_2-11_1_rmf,AC-2(11),Account Management | Usage Conditions,Access Control,,,,fas fa-user-lock,AC-2(11).1,,The organization defines the circumstances and/or usage conditions that are to be enforced for organization-defined information system accounts.,TRUE
AC_2-11_2_rmf,AC-2(11),Account Management | Usage Conditions,Access Control,,,,fas fa-user-lock,AC-2(11).2,,The organization defines the information system accounts that are to be subject to the enforcement of organization-defined circumstances and/or usage conditions.,TRUE
AC_2-11_3_rmf,AC-2(11),Account Management | Usage Conditions,Access Control,,,,fas fa-user-lock,AC-2(11).3,,The information system enforces organization-defined circumstances and/or usage conditions for organization-defined information system accounts.,TRUE
AC_2-12_1_rmf,AC-2(12),Account Management | Account Monitoring for Atypical Usage,Access Control,,,,fas fa-user-lock,AC-2(12).1,,The organization defines atypical usage for which the information system accounts are to be monitored.,TRUE
AC_2-12_2_rmf,AC-2(12),Account Management | Account Monitoring for Atypical Usage,Access Control,,,,fas fa-user-lock,AC-2(12).2,,The organization monitors information system accounts for organization-defined atypical use.,TRUE
AC_2-12_3_rmf,AC-2(12),Account Management | Account Monitoring for Atypical Usage,Access Control,,,,fas fa-user-lock,AC-2(12).3,,The organization defines the personnel or roles to whom atypical usage of information system accounts are to be reported.,TRUE
AC_2-12_4_rmf,AC-2(12),Account Management | Account Monitoring for Atypical Usage,Access Control,,,,fas fa-user-lock,AC-2(12).4,,The organization reports atypical usage of information system accounts to organization-defined personnel or roles.,TRUE
AC_2-13_1_rmf,AC-2(13),Account Management | Disable Accounts for High-risk Individuals,Access Control,,,,fas fa-user-lock,AC-2(13).1,,The organization defines the time period within which the accounts of users posing a significant risk are to be disabled after discovery of the risk.,TRUE
AC_2-13_2_rmf,AC-2(13),Account Management | Disable Accounts for High-risk Individuals,Access Control,,,,fas fa-user-lock,AC-2(13).2,,The organization disables accounts of users posing a significant risk within an organization-defined time period of discovery of the risk.,TRUE
AC_2-2_1_rmf,AC-2(2),Account Management | Automated Temporary and Emergency Account Management,Access Control,,,,fas fa-user-lock,AC-2(2).1,,The information system automatically removes or disables temporary accounts after an organization-defined time period for each type of account.,TRUE
AC_2-2_2_rmf,AC-2(2),Account Management | Automated Temporary and Emergency Account Management,Access Control,,,,fas fa-user-lock,AC-2(2).2,,The organization defines a time period after which temporary accounts are automatically terminated.,TRUE
AC_2-2_3_rmf,AC-2(2),Account Management | Automated Temporary and Emergency Account Management,Access Control,,,,fas fa-user-lock,AC-2(2).3,,The organization defines a time period after which emergency accounts are automatically terminated.,TRUE
AC_2-2_4_rmf,AC-2(2),Account Management | Automated Temporary and Emergency Account Management,Access Control,,,,fas fa-user-lock,AC-2(2).4,,The information system automatically removes or disables emergency accounts after an organization-defined time period for each type of account.,TRUE
AC_2-3_1_rmf,AC-2(3),Account Management | Disable Accounts,Access Control,,,,fas fa-user-lock,AC-2(3).1,,The information system automatically disables inactive accounts after an organization-defined time period.,TRUE
AC_2-3_2_rmf,AC-2(3),Account Management | Disable Accounts,Access Control,,,,fas fa-user-lock,AC-2(3).2,,The organization defines a time period after which inactive accounts are automatically disabled.,TRUE
AC_2-4_1_rmf,AC-2(4),Account Management | Automated Audit Actions,Access Control,,,,fas fa-user-lock,AC-2(4).1,,The information system automatically audits account creation actions.,TRUE
AC_2-4_10_rmf,AC-2(4),Account Management | Automated Audit Actions,Access Control,,,,fas fa-user-lock,AC-2(4).10,,"The organization defines the personnel or roles to be notified on account creation, modification, enabling, disabling, and removal actions.",TRUE
AC_2-4_11_rmf,AC-2(4),Account Management | Automated Audit Actions,Access Control,,,,fas fa-user-lock,AC-2(4).11,,The information system notifies organization-defined personnel or roles for account enabling actions.,TRUE
AC_2-4_2_rmf,AC-2(4),Account Management | Automated Audit Actions,Access Control,,,,fas fa-user-lock,AC-2(4).2,,The information system automatically audits account modification actions.,TRUE
AC_2-4_3_rmf,AC-2(4),Account Management | Automated Audit Actions,Access Control,,,,fas fa-user-lock,AC-2(4).3,,The information system automatically audits account disabling actions.,TRUE
AC_2-4_4_rmf,AC-2(4),Account Management | Automated Audit Actions,Access Control,,,,fas fa-user-lock,AC-2(4).4,,The information system automatically audits account removal actions.,TRUE
AC_2-4_5_rmf,AC-2(4),Account Management | Automated Audit Actions,Access Control,,,,fas fa-user-lock,AC-2(4).5,,The information system notifies organization-defined personnel or roles for account creation actions.,TRUE
AC_2-4_6_rmf,AC-2(4),Account Management | Automated Audit Actions,Access Control,,,,fas fa-user-lock,AC-2(4).6,,The information system notifies organization-defined personnel or roles for account modification actions.,TRUE
AC_2-4_7_rmf,AC-2(4),Account Management | Automated Audit Actions,Access Control,,,,fas fa-user-lock,AC-2(4).7,,The information system notifies organization-defined personnel or roles for account disabling actions.,TRUE
AC_2-4_8_rmf,AC-2(4),Account Management | Automated Audit Actions,Access Control,,,,fas fa-user-lock,AC-2(4).8,,The information system notifies organization-defined personnel or roles for account removal actions.,TRUE
AC_2-4_9_rmf,AC-2(4),Account Management | Automated Audit Actions,Access Control,,,,fas fa-user-lock,AC-2(4).9,,The information system automatically audits account enabling actions.,TRUE
AC_2-5_1_rmf,AC-2(5),Account Management | Inactivity Logout,Access Control,,,,fas fa-user-lock,AC-2(5).1,,The organization defines other conditions when users are required to log out.,TRUE
AC_2-5_2_rmf,AC-2(5),Account Management | Inactivity Logout,Access Control,,,,fas fa-user-lock,AC-2(5).2,,The organization requires that users log out in accordance with the organization-defined time period of inactivity or description of when to log out.,TRUE
AC_2-5_3_rmf,AC-2(5),Account Management | Inactivity Logout,Access Control,,,,fas fa-user-lock,AC-2(5).3,,The organization defines a time period of expected inactivity when users are required to log out.,TRUE
AC_2-6_1_rmf,AC-2(6),Account Management | Dynamic Privilege Management,Access Control,,,,fas fa-user-lock,AC-2(6).1,,The organization defines a list of dynamic privilege management capabilities to be implemented by the information system.,TRUE
AC_2-6_2_rmf,AC-2(6),Account Management | Dynamic Privilege Management,Access Control,,,,fas fa-user-lock,AC-2(6).2,,The information system implements the organization-defined list of dynamic privilege management capabilities.,TRUE
AC_2-7_1_rmf,AC-2(7),Account Management | Privileged User Accounts,Access Control,,,,fas fa-user-lock,AC-2(7).1,,The organization establishes privileged user accounts in accordance with a role-based access scheme that organizes allowed information system access and privileges into roles.,TRUE
AC_2-7_2_rmf,AC-2(7),Account Management | Privileged User Accounts,Access Control,,,,fas fa-user-lock,AC-2(7).2,,The organization administers privileged user accounts in accordance with a role-based access scheme that organizes allowed information system access and privileges into roles.,TRUE
AC_2-7_3_rmf,AC-2(7),Account Management | Privileged User Accounts,Access Control,,,,fas fa-user-lock,AC-2(7).3,,The organization monitors privileged role assignments.,TRUE
AC_2-7_4_rmf,AC-2(7),Account Management | Privileged User Accounts,Access Control,,,,fas fa-user-lock,AC-2(7).4,,The organization defines the actions to be taken when privileged role assignments are no longer appropriate.,TRUE
AC_2-7_5_rmf,AC-2(7),Account Management | Privileged User Accounts,Access Control,,,,fas fa-user-lock,AC-2(7).5,,The organization takes organization-defined actions when privileged role assignments are no longer appropriate.,TRUE
AC_2-8_1_rmf,AC-2(8),Account Management | Dynamic Account Management,Access Control,,,,fas fa-user-lock,AC-2(8).1,,The organization defines the information system accounts that can be dynamically created.,TRUE
